slug,type,key,label,domain_count,source_domain_count,mx_hosts,mx_ipv4,mx_ipv6,first_seen_at,last_seen_at,last_enriched_at
4nly-com-28bef142,mx_host,4nly.com,4nly.com,1,1,mail.4nly.com,129.212.136.129,,2026-05-30T11:00:01.750Z,2026-05-30T11:00:01.750Z,
alf5-com-74f227c4,mx_host,alf5.com,alf5.com,1,1,mail.alf5.com,129.212.136.129,,2026-05-30T11:00:01.750Z,2026-05-30T11:00:01.750Z,
asteraavia-ru-3a20287b,mx_host,asteraavia.ru,asteraavia.ru,1,1,mail.asteraavia.ru,101.219.20.12,,2026-05-04T13:11:51.542Z,2026-05-30T00:00:02.292Z,2026-05-29T01:30:08.507Z
decretof-com-213c7d4d,mx_host,decretof.com,decretof.com,1,1,mail.decretof.com,5.230.123.239,,2026-05-30T11:00:01.750Z,2026-05-30T11:00:01.750Z,
dgm-bg-89d3016f,mx_host,dgm.bg,dgm.bg,1,1,owa.dgm.bg,91.209.8.206,,2026-05-04T13:11:51.542Z,2026-05-30T00:00:02.292Z,2026-05-29T05:29:48.035Z
diplom-voronesh-ru-e3dbd729,mx_host,diplom-voronesh.ru,diplom-voronesh.ru,1,1,mail.diplom-voronesh.ru,151.248.114.50,2a00:f940:2:4:2::1217,2026-05-04T13:11:51.542Z,2026-05-30T00:00:02.292Z,2026-05-29T03:33:14.698Z
doreact-com-b5073dbe,mx_host,doreact.com,doreact.com,1,1,mail.doreact.com,129.212.136.129,,2026-05-30T00:00:02.292Z,2026-05-30T00:00:02.292Z,2026-05-30T00:00:32.115Z
emails-garden-76ce7bbe,mx_host,emails.garden,emails.garden,1,1,mail.emails.garden,82.25.56.247,,2026-05-04T13:11:51.542Z,2026-05-30T00:00:02.292Z,2026-05-29T04:13:29.124Z
fallinhay-com-534b997d,mx_host,fallinhay.com,fallinhay.com,1,1,mail.fallinhay.com,43.128.135.183,,2026-05-04T13:11:51.542Z,2026-05-30T00:00:02.292Z,2026-05-29T04:34:10.901Z
googxs-com-73e94641,mx_host,googxs.com,googxs.com,1,1,mail.googxs.com,129.212.136.129,,2026-05-30T11:00:01.750Z,2026-05-30T11:00:01.750Z,
hgwise-org-ae8e5513,mx_host,hgwise.org,hgwise.org,1,1,mail.hgwise.org,185.36.81.57,,2026-05-30T11:00:01.750Z,2026-05-30T11:00:01.750Z,
ilyy-org-f0fb499c,mx_host,ilyy.org,ilyy.org,1,1,mail.ilyy.org,82.25.56.247,,2026-05-04T13:11:51.542Z,2026-05-30T00:00:02.292Z,2026-05-29T06:18:38.543Z
kuyang-id-7fa12942,mx_host,kuyang.id,kuyang.id,1,1,generator.email|mx.kuyang.id,47.236.52.217|91.196.52.205,,2026-05-30T11:00:01.750Z,2026-05-30T11:00:01.750Z,
monemails-com-a7a1ee00,mx_host,monemails.com,monemails.com,1,1,mail.monemails.com,65.109.248.161,,2026-05-30T11:00:01.750Z,2026-05-30T11:00:01.750Z,
montecarlo-pw-11a86618,mx_host,montecarlo.pw,montecarlo.pw,1,1,mail.montecarlo.pw,82.25.56.247,,2026-05-04T13:11:51.542Z,2026-05-30T00:00:02.292Z,2026-05-29T08:38:48.560Z
securamail-org-4c5b691b,mx_host,securamail.org,securamail.org,1,1,mail.securamail.org,82.25.56.247,,2026-05-04T13:11:51.542Z,2026-05-30T00:00:02.292Z,2026-05-29T11:18:58.888Z
socialtextonline-org-b1eb0248,mx_host,socialtextonline.org,socialtextonline.org,1,1,mail.socialtextonline.org,185.36.81.57,,2026-05-30T11:00:01.750Z,2026-05-30T11:00:01.750Z,
soma-edu-pl-6e0863fb,mx_host,soma.edu.pl,soma.edu.pl,1,1,mail.soma.edu.pl,54.37.254.198,,2026-05-04T13:11:51.542Z,2026-05-30T00:00:02.292Z,2026-05-29T11:43:32.923Z
taoxe-com-1af19de4,mx_host,taoxe.com,taoxe.com,1,1,mail.taoxe.com,129.212.136.129,,2026-05-30T11:00:01.750Z,2026-05-30T11:00:01.750Z,
vpsnl-ru-1dda285b,mx_host,vpsnl.ru,vpsnl.ru,1,1,mail.vpsnl.ru,178.159.37.169,,2026-05-30T11:00:01.750Z,2026-05-30T11:00:01.750Z,
warmeta-net-acf12ace,mx_host,warmeta.net,warmeta.net,1,1,mail.warmeta.net,54.37.254.198,,2026-05-04T13:11:51.542Z,2026-05-30T00:00:02.292Z,2026-05-29T13:39:23.104Z
