domain,provider_slugs,provider_labels,mx_hosts,mx_ipv4,mx_ipv6,mx_resolved_at,first_seen_at,last_seen_at,last_enriched_at
23gmail.com,mb5p-com-95525b6b|m1bp-com-9974901e,mb5p.com|m1bp.com,mx37.m1bp.com|mx37.mb5p.com,147.182.130.78|147.182.160.18|147.182.180.139|147.182.189.184|164.90.197.105|164.90.197.143|164.90.197.162|164.90.197.79,,2026-06-23T03:00:19.428Z,2026-06-04T00:00:01.971Z,2026-06-23T00:00:01.868Z,2026-06-20T00:00:27.508Z
antonmotolko.com,brushemail-com-2a9285af,brushemail.com,ereg4.brushemail.com|wreg4.brushemail.com,134.122.50.100|146.190.78.248,,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,
ayumu23.kiyoakari.xyz,mb5p-com-95525b6b|m1bp-com-9974901e,mb5p.com|m1bp.com,mx37.m1bp.com|mx37.mb5p.com,147.182.130.78|147.182.160.18|147.182.180.139|147.182.189.184|164.90.197.105|164.90.197.143|164.90.197.162|164.90.197.79,,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,
corrective.meettravellersrest.click,meettravellersrest-click-089ba874,meettravellersrest.click,mail.corrective.meettravellersrest.click,77.237.235.246,2a02:c206:2239:9872::1,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,
gamersnest.top,,,inbound-smtp.eu-west-1.amazonaws.com,18.200.203.69|54.155.140.59|54.76.31.185,,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,
inx.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-06-23T03:08:18.732Z,2026-06-23T00:00:01.868Z,2026-06-23T00:00:01.868Z,2026-06-23T00:01:19.488Z
iox.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,
kingortown.site,beget-com-b5170b36,beget.com,mx1.beget.com|mx2.beget.com,185.78.30.126|185.78.30.48|185.78.30.71|185.78.30.95|5.101.158.67|5.101.158.68,,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,
klikdisiniya.my.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,
maily.lat,,,alt1.aspmx.l.google.com|alt2.aspmx.l.google.com|alt3.aspmx.l.google.com|alt4.aspmx.l.google.com|aspmx.l.google.com,142.250.147.26|172.253.152.26|192.178.211.26|192.178.213.27|64.233.166.27,2404:6800:4000:1025::1b|2a00:1450:400c:c1d::1b|2a00:1450:4010:c22::1a|2a00:1450:4013:c1e::1b|2a00:1450:4025:c01::1b,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,
nicemail.n-e.kr,yopmail-com-321e7ca0,yopmail.com,smtp.yopmail.com,87.98.164.155,,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,
renalec.com,263-net-676f1020,263.net,mx.263.net|mxw.263.net,107.150.117.76|128.1.42.104|128.14.224.70,,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,
shiro3610.masumi36.toshikokaori.xyz,mb5p-com-95525b6b|m1bp-com-9974901e,mb5p.com|m1bp.com,mx37.m1bp.com|mx37.mb5p.com,147.182.130.78|147.182.160.18|147.182.180.139|147.182.189.184|164.90.197.105|164.90.197.143|164.90.197.162|164.90.197.79,,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,
softbank.id,generator-email-27002afd,generator.email,generator.email,91.196.52.205,,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,
yadnex.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,2026-06-23T11:00:01.995Z,
yandexs.ru,blackhole-mx-579705ce,blackhole.mx,void.blackhole.mx,195.201.28.161|78.47.159.103|95.217.0.12,2a01:4f8:1c0c:54b0::2|2a01:4f8:1c17:4376::2|2a01:4f9:c010:2ce2::2,2026-06-23T03:17:54.748Z,2026-06-23T00:00:01.868Z,2026-06-23T00:00:01.868Z,2026-06-23T00:01:21.770Z
